num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
18,2014,Chevrolet,Camaro,LS,Coupe,automatic,2g1fa1e39e9134494,ca,1.7,13441.0,black,black,wells fargo dealer services,17750,17000,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
19,2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c53ed169260,ca,3.4,8819.0,black,black,the hertz corporation,68000,67200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
20,2015,Chevrolet,Impala,LTZ,Sedan,automatic,2g1165s30f9103921,ca,1.9,14538.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,24300,7200,Tue Jul 07 2015 09:30:00 GMT-0700 (PDT)
21,2014,BMW,5 Series,528i,Sedan,automatic,wba5a5c51ed501631,ca,2.9,25969.0,black,black,financial services remarketing (lease),34200,30000,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
22,2014,Chevrolet,Camaro,LT,Convertible,automatic,2g1fb3d31e9134662,ca,3.42451221808463,33450.0,black,black,avis rac/san leandro,20100,14700,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
23,2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,wauacgff7f1002327,ca,4.9,5826.0,gray,black,audi north scottsdale,24000,23750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
24,2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c57ed169262,ca,3.8,10736.0,black,black,the hertz corporation,67000,65000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
25,2015,Hyundai,Sonata,SE,Sedan,automatic,5npe24af4fh038482,ca,3.42451221808463,9281.0,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,15150,8500,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
26,2015,Volvo,XC70,T6,Wagon,automatic,yv4902nb3f1198103,ca,4.2,16506.0,brown,brown,volvo na rep/world omni,32100,32500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
27,2015,Volvo,XC70,T6,Wagon,automatic,yv4902nb3f1196951,ca,4.8,12725.0,beige,beige,volvo na rep/world omni,32300,32500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
28,2014,BMW,X5,sDrive35i,SUV,automatic,5uxkr2c52e0h33130,ca,3.42451221808463,11278.0,gray,black,avis rac/san leandro,50400,34000,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
29,2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e35e9238302,ca,4.2,11874.0,gray,black,midway hfc fleet/ars,22200,19500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
30,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb2e7105471,ca,4.2,37888.0,gray,black,enterprise vehicle exchange/orange,11600,11500,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
31,2014,Audi,SQ5,3.0T Premium Plus quattro,SUV,automatic,wa1cgafp4ea030312,ca,4.2,9606.0,white,black,audi of downtown l a,48600,47500,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
32,2015,Kia,Sorento,LX,SUV,automatic,5xyktca60fg565226,ca,5.0,13757.0,red,black,"kia motors america, inc",20600,20750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
33,2014,Audi,S5,Premium Plus quattro,Coupe,automatic,waucgafrxea001689,ca,3.8,5875.0,black,black,fratelli investment group,46500,44500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
34,2015,Kia,Sorento,LX,SUV,automatic,5xyktca68fg559481,ca,4.4,12862.0,gray,black,"kia motors america, inc",20700,21000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
35,2014,Buick,Verano,Convenience Group,Sedan,automatic,1g4pr5sk8e4175320,ca,2.0,19531.0,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,15000,9200,Tue Jan 06 2015 04:00:00 GMT-0800 (PST)
36,2015,Chevrolet,Suburban,LTZ,SUV,automatic,1gnskkkc3fr187901,ca,4.5,11426.0,black,black,midway hfc fleet/ars,57300,59900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
37,2014,BMW,3 Series,328i SULEV,Sedan,automatic,wba3c1c50ek108497,ca,5.0,111.0,black,—,financial services remarketing (lease),32200,30500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
38,2014,BMW,M5,Base,Sedan,automatic,wbsfv9c56ed593069,ca,3.8,16360.0,black,black,the hertz corporation,65000,64250,Tue Jan 13 2015 04:30:00 GMT-0800 (PST)
39,2014,BMW,3 Series,328i SULEV,Sedan,automatic,wba3c1c58ek106688,ca,4.5,9027.0,white,black,financial services remarketing (lease),30200,27500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
40,2014,Cadillac,ELR,Base,Coupe,automatic,1g6rr1e48eu601450,ca,4.7,4436.0,gray,black,rogue cu,49400,44000,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
41,2015,Hyundai,Sonata,SE,Sedan,automatic,5npe24af2fh014813,ca,3.42451221808463,9208.0,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,15700,10000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
42,2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c50ed169281,ca,3.2,13205.0,white,black,the hertz corporation,66000,65000,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
43,2015,Volvo,V60,T5,Wagon,automatic,yv1612sb9f1202043,ca,4.1,11846.0,white,beige,volvo na rep/world omni,31300,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
44,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb6e7128803,ca,3.42451221808463,38261.0,white,—,avis tra,11450,2000,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
45,2014,BMW,X6,xDrive35i,SUV,automatic,5uxfg2c53e0h11080,ca,4.0,379.0,white,black,financial services remarketing (lease),54800,51700,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
46,2015,Volvo,V60,T5,Wagon,automatic,yv1612sb1f1201503,ca,4.2,12242.0,black,gray,volvo na rep/world omni,31200,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
47,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb6e7118217,ca,3.4,40661.0,silver,black,avis corporation,13050,13000,Thu Jan 22 2015 03:30:00 GMT-0800 (PST)
48,2014,Acura,ILX,Technology Package,Sedan,automatic,19vde1f70ee008913,ca,2.5,9051.0,gray,black,american honda motor company,22700,21250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
49,2015,Kia,Sorento,LX,SUV,automatic,5xyktca67fg570973,ca,5.0,13878.0,silver,black,"kia motors america, inc",20600,20750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
50,2015,Volvo,V60,T5,Wagon,automatic,yv1612sbxf1202276,ca,3.7,10906.0,silver,black,volvo na rep/world omni,31500,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
51,2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap4fn313644,ca,3.42451221808463,10678.0,gray,black,enterprise vehicle exchange / tra / rental / tulsa,15150,11600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
52,2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,wba6b2c51ed129563,ca,4.2,7305.0,white,black,the hertz corporation,65000,66100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
53,2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1fn331213,ca,1.0,4314.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,15500,11500,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
54,2015,Kia,K900,Luxury,Sedan,automatic,knalw4d42f6019667,ca,4.2,5304.0,blue,black,"kia motors america, inc",39500,40000,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
55,2015,Kia,Sorento,LX,SUV,automatic,5xyktca63fg570727,ca,4.8,10357.0,silver,gray,"kia motors america, inc",20700,20500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
56,2015,Chevrolet,Malibu,LT,Sedan,automatic,1g11d5sl6fu106427,ca,1.0,6105.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,16600,9800,Wed Jan 14 2015 07:05:00 GMT-0800 (PST)
57,2015,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba7fc155782,ca,4.3,7770.0,white,black,lexus financial services,41200,38400,Tue Dec 30 2014 00:00:00 GMT-0800 (PST)
58,2015,Kia,Sorento,LX,SUV,automatic,5xykt3a62fg579841,ca,5.0,5214.0,white,black,kia motors finance,19400,19300,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
59,2014,BMW,M5,Base,Sedan,automatic,wbsfv9c51ed097712,ca,4.7,7766.0,gray,black,fratelli investment group,71000,77250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
60,2015,Kia,K900,Luxury,Sedan,automatic,knalw4d42f6018633,ca,4.4,9684.0,white,gray,"kia motors america, inc",41000,41000,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
61,2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,wauacgff6f1029938,ca,2.0,31.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,24200,17300,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
62,2015,Nissan,Versa,1.6 SL,Sedan,manual,3n1cn7ap7fl842707,ca,3.9,1608.0,purple,black,nissan-infiniti lt,10900,11000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
63,2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e35e9238493,ca,3.1,9914.0,black,black,midway hfc fleet/ars,22500,20600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
64,2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae2fh565969,ca,1.0,7879.0,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,13800,10500,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
65,2015,Kia,Sorento,LX,SUV,automatic,5xyktca6xfg560888,ca,5.0,14176.0,white,black,"kia motors america, inc",20600,21250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
66,2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e33e9211499,ca,4.1,17594.0,gray,black,midway hfc fleet/ars,21500,19600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
67,2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,wauacgff1f1002467,ca,5.0,1906.0,gray,black,audi north scottsdale,24100,25750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
68,2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c55ed169261,ca,4.0,8037.0,black,black,the hertz corporation,67000,65000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
69,2015,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp8fl371361,ca,2.0,5773.0,red,black,enterprise vehicle exchange / tra / rental / tulsa,12050,9000,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
70,2014,Audi,A8,L 3.0T quattro,Sedan,automatic,waurgafd8en003111,ca,4.3,32918.0,black,black,audi west covina,62000,50000,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
71,2014,BMW,X1,sDrive28i,SUV,automatic,wbavm1c53evw47779,ca,4.8,19689.0,white,black,financial services remarketing (lease),23700,26500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
72,2014,BMW,Altima,750Li,Sedan,automatic,wbaye8c59ed134514,ca,4.3,12172.0,black,black,financial services remarketing (lease),67000,66000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
73,2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e31e9248986,ca,1.0,20595.0,red,gray,enterprise vehicle exchange / tra / rental / tulsa,20800,13600,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
74,2015,Volvo,V60,T5,Wagon,automatic,yv1612sb8f1201529,ca,4.0,13623.0,silver,black,volvo na rep/world omni,28400,28000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
75,2014,BMW,6 Series,650i,Coupe,automatic,wbaym9c53ed248064,ca,4.0,9837.0,black,—,financial services remarketing (lease),62000,61500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
76,2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e37e9270877,ca,3.0,13606.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,21400,13000,Tue Jan 06 2015 13:00:00 GMT-0800 (PST)
77,2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,wba6b2c53ed128866,ca,2.9,37752.0,white,black,financial services remarketing (lease),62000,58000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
78,2015,Kia,Sorento,LX,SUV,automatic,5xyktca68fg570979,ca,4.4,9161.0,silver,black,"kia motors america, inc",20800,22250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
79,2015,Kia,Sorento,LX,SUV,automatic,5xyktca65fg571619,ca,5.0,11001.0,white,black,"kia motors america, inc",20700,22500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
80,2014,Buick,Enclave,Leather Group,SUV,automatic,5gakrbkd2ej294045,ca,1.0,14599.0,gray,black,enterprise vehicle exchange / tra / rental / tulsa,31000,24100,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
81,2014,BMW,M5,Base,Sedan,automatic,wbsfv9c54ed593085,ca,3.8,13386.0,white,black,the hertz corporation,67000,65000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
82,2014,BMW,M5,Base,Sedan,automatic,wbsfv9c55ed593080,ca,4.1,15161.0,white,black,the hertz corporation,66000,65801,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
83,2014,Audi,TTS,quattro,Coupe,automatic,trub1afk9e1007640,ca,2.8,3996.0,silver,black,fratelli investment group,41400,34250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
84,2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae2fh566023,ca,2.0,10551.0,red,gray,enterprise vehicle exchange / tra / rental / tulsa,13850,10600,Tue Jan 13 2015 13:00:00 GMT-0800 (PST)
85,2014,BMW,4 Series,428i SULEV,Coupe,automatic,wba3n7c55ef719079,ca,3.7,18152.0,white,black,street smartz auto sales corporation,31000,39750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
86,2015,Kia,Sorento,LX,SUV,automatic,5xyktca64fg570963,ca,4.6,13452.0,silver,black,"kia motors america, inc",20600,21500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
87,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb5e7115504,ca,4.1,37938.0,black,black,avis rac/san leandro,12950,13700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
88,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb0e7134820,ca,4.2,39623.0,blue,black,avis corporation,13350,13200,Thu Jan 15 2015 03:30:00 GMT-0800 (PST)
89,2014,Chevrolet,Silverado 2500HD,Work Truck,Crew Cab,automatic,1gc1kvc84ef152736,ca,3.6,8742.0,white,gray,"enterprise fleet management exchange, inc.",34000,34000,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
90,2015,Kia,Sorento,LX,SUV,automatic,5xyktca60fg563086,ca,5.0,16348.0,gray,gray,"kia motors america, inc",20500,20500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
91,2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae2fh553630,ca,3.42451221808463,9750.0,blue,gray,avis rac/san leandro,13700,10000,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
92,2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae4fh552981,ca,3.5,3367.0,silver,gray,ag leaseplan,13900,13200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
93,2014,Acura,MDX,Advance and Entertainment Packages,SUV,automatic,5fryd3h83eb011004,ca,4.9,21523.0,white,gray,onemain rem/m&m auto traders,39500,41500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
94,2015,Ford,Fusion,SE,Sedan,automatic,3fa6p0h7xfr151689,ca,1.0,4205.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,14700,12000,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
95,2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c53ed169288,ca,3.7,8891.0,silver,black,the hertz corporation,68000,67200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
96,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb8e7420706,ca,2.0,8154.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,14150,10000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
97,2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpcrecxeg363552,ca,3.7,6726.0,black,black,repo remarketing/visterra credit union,26900,30250,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
98,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb4e7109323,ca,3.7,36771.0,silver,black,avis rac/san leandro,13000,13600,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
99,2015,Kia,Sorento,LX,SUV,automatic,5xyktca67fg567068,ca,4.9,9552.0,burgundy,beige,"kia motors america, inc",20800,21000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
100,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb3e7406616,ca,1.0,10673.0,red,black,enterprise vehicle exchange / tra / rental / tulsa,14150,3300,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
101,2015,Volvo,V60,T5,Wagon,automatic,yv1612sb6f1202338,ca,3.7,14806.0,white,beige,volvo na rep/world omni,30700,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
102,2014,Chevrolet,Camaro,LS,Coupe,manual,2g1fe1e34e9190976,ca,4.4,7924.0,white,black,tdaf remarketing,17850,18500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
103,2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap4fn310470,ca,1.0,12752.0,gray,black,enterprise vehicle exchange / tra / rental / tulsa,14600,9500,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
104,2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c5xed169286,ca,3.8,19499.0,silver,—,the hertz corporation,63000,62000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
105,2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae0fh574105,ca,1.0,6759.0,blue,gray,enterprise vehicle exchange / tra / rental / tulsa,13800,5800,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
106,2014,BMW,5 Series,535d,Sedan,automatic,wbaxa5c52ed689665,ca,4.8,12292.0,white,black,financial services remarketing (lease),46300,46500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
107,2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c59ed169280,ca,3.7,15727.0,white,black,the hertz corporation,66000,65000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
108,2015,Kia,Sorento,LX,SUV,automatic,5xyktca64fg570672,ca,4.9,13711.0,white,black,"kia motors america, inc",20600,21750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
109,2014,Cadillac,SRX,Luxury,SUV,automatic,3gyfnbe32es536307,ca,4.4,8683.0,white,black,lease plan usa,33500,30000,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
110,2014,BMW,X5,xDrive35i,SUV,automatic,5uxkr0c54e0k49204,ca,5.0,4503.0,white,black,financial services remarketing (lease),57500,57250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
111,2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae8fh565992,ca,2.0,7800.0,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,13800,9000,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
112,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sbxe7113253,ca,2.8,40393.0,gray,black,avis corporation,11450,11700,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
113,2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcukrec9eg452373,ca,4.0,9685.0,white,black,ars/acme auto leasing,31700,30000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
114,2015,Kia,Sorento,LX,SUV,automatic,5xyktca60fg570829,ca,5.0,10615.0,burgundy,black,"kia motors america, inc",20700,20500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
115,2015,Kia,Sorento,LX,SUV,automatic,5xyktca61fg560973,ca,4.8,13031.0,purple,black,"kia motors america, inc",20600,20750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
116,2014,Acura,ILX,Base,Sedan,automatic,19vde1f38ee011281,ca,4.1,12905.0,silver,gray,american honda motor company,19950,20400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
117,2015,Kia,Sorento,LX,SUV,automatic,5xyktca61fg566806,ca,4.8,16611.0,gray,black,"kia motors america, inc",20500,20750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
118,2015,Volvo,V60,T5,Wagon,automatic,yv1612sb2f1201221,ca,4.1,12273.0,white,beige,volvo na rep/world omni,31200,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
119,2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e34e9292660,ca,3.42451221808463,11204.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,21900,10250,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
120,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb4e7102937,ca,4.2,40560.0,gray,brown,avis corporation,12800,12800,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
121,2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae5fh572401,ca,3.42451221808463,5335.0,white,gray,enterprise vehicle exchange / tra / rental / tulsa,13850,6600,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
122,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek4dm921604,ca,4.5,14716.0,white,black,nissan infiniti lt,25900,25000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
123,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap3dm726059,ca,4.6,68.0,black,black,nissan infiniti lt,25700,27250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
124,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxdm714541,ca,4.5,24112.0,white,black,nissan infiniti lt,22800,22500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
125,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek8dm920763,ca,4.7,4859.0,black,black,nissan infiniti lt,27200,26750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
126,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek8dm900321,ca,4.5,21126.0,black,beige,nissan infiniti lt,25100,26500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
127,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5dm714009,ca,4.2,26675.0,blue,black,nissan infiniti lt,22500,23750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
128,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5dm713958,ca,4.2,19978.0,white,black,nissan infiniti lt,23300,24500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
129,2013,Infiniti,FX,FX37,SUV,automatic,jn8cs1mu2dm140046,ca,4.3,10532.0,black,black,nissan infiniti lt,30800,32000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
